"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
56,"NCT02133157","Phase I Study of Sulfatinib(HMPL-012) in Patients With Advanced Solid Tumors","HMPL","Completed","No Results Available","Tumor","Drug: Sulfatinib","To assess number of participants with adverse events as a measure of safety and tolerability during dose escalating|To measure the plasma concentration of HMPL-012 in single and repeated doses","Hutchison Medipharma Limited","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","71","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2009-012-00CH1","April 2010","October 2014","October 2014","May 7, 2014",,"July 8, 2020","Academy of Military Medical Affiliated Hopital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02133157"
57,"NCT03208959","A Trial of HTI-1090 in Subjects With Advanced Solid Tumors",,"Completed","No Results Available","Advanced Solid Tumors","Drug: HTI-1090","Adverse events|Laboratory results|Vital signs|Electrocardiogram","Atridia Pty Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HTI-1090-101","August 30, 2017","November 1, 2018","January 23, 2019","July 6, 2017",,"September 30, 2019","Icon Cancer Care Centre, South Brisbane, New South Wales, Australia",,"https://ClinicalTrials.gov/show/NCT03208959"
58,"NCT01645215","Phase I Study of Fruquintinib(HMPL-013) in Patients With Advanced Solid Tumors",,"Completed","No Results Available","Tumor","Drug: Fruquintinib","Safety in the first 28-Days of Therapy|Objective Response Rate （ORR)|Pharmacokinetic Assessments for AUC, Cmax and Tmax","Hutchison Medipharma Limited|Fudan University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","40","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2009-013-00CH1","January 2011","October 2012","October 2012","July 20, 2012",,"February 17, 2020","Fudan University Cancer Center, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT01645215"
59,"NCT00736372","A Trial of PX-12 in Patients With a Histologically or Cytologically Confirmed Diagnosis of Advanced or Metastatic Cancer",,"Completed","No Results Available","Metastatic Cancer|Advanced Cancer","Drug: PX-12","To determine the MTD of PX-12 delivered as a 72-hour infusion over days 1, 2, and 3 of a 21-day cycle|When delivered as a 72 hour intravenous infusion on days 1, 2, and 3 of a 21-day cycle: Evaluate the safety profile of PX-12|When delivered as a 72 hour intravenous infusion on days 1, 2, and 3 of a 21-day cycle: Assess the pharmacodynamics of PX-12 using surrogate tissues obtained pre- and post-drug treatment|When delivered as a 72 hour intravenous infusion on days 1, 2, and 3 of a 21-day cycle: Assess pharmacokinetic profiles of PX-12 in plasma samples|When delivered as a 72 hour intravenous infusion on days 1, 2, and 3 of a 21-day cycle: Identify any antitumor activity of PX-12 in this patient population","Cascadian Therapeutics Inc.|Seagen Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","14","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PX-12-004","June 2008","August 2009","August 2009","August 15, 2008",,"May 17, 2018","TGen Clinical Research Services at Scottsdale Healthcare, Scottsdale, Arizona, United States|Cancer Centers of the Carolinas, Greenville, South Carolina, United States|Tyler Cancer Center, Tyler, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00736372"
60,"NCT03815695","A SAD/MAD to Assess the Safety, Pharmacokinetics and Pharmacodynamics of FT-4202 in Healthy Volunteers and Sickle Cell Disease Patients",,"Completed","No Results Available","Healthy Volunteers|Sickle Cell Disease","Drug: FT-4202/Placebo|Drug: FT-4202","Incidence, frequency, and severity of adverse events (AEs) per CTCAE v5.0 of a single ascending dose and multiple ascending doses of FT-4202 in adult healthy volunteers and SCD patients.|Maximum observed plasma concentration (Cmax)|Time to maximum observed plasma concentration (Tmax)|Area under the plasma concentration-time curve from time zero until the 24-hour time point (AUC0-24)|Area under the plasma concentration-time curve from time zero until the last quantifiable time point (AUC0-last)|Area under the plasma concentration-time curve from time zero to infinity (AUC0-inf)|Terminal elimination half-life (t1/2)|Apparent clearance (CL/F)|Apparent volume of distribution (Vd/F)|Terminal disposition rate constant (Lz)|Renal clearance (ClR)|Change from baseline in the levels of 2,3-diphosphoglycerate (DPG) and adenosine triphosphate (ATP) in the red blood cells (RBCs) of healthy volunteers and SCD patients after single and multiple doses of FT-4202.|Model-based estimate of change from baseline QT interval corrected using Fridericia's correction formula (QTcF) and 90% confidence interval at the estimated Cmax after a single dose of FT-4202 in healthy volunteers|Change from baseline heart rate after a single dose of FT-4202 in healthy volunteers|Change from baseline PR after a single dose of FT-4202 in healthy volunteers|Change from baseline QRS after a single dose of FT-4202 in healthy volunteers|Change from baseline T-wave morphology after a single dose of FT-4202 in healthy volunteers","Forma Therapeutics, Inc.|Medpace, Inc.","All","12 Years to 65 Years   (Child, Adult, Older Adult)","Phase 1","130","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","4202-HVS-101","December 11, 2018","December 17, 2021","December 17, 2021","January 24, 2019",,"December 22, 2021","Woodland International Research Group (SCD subjects only), Little Rock, Arkansas, United States|Collaborative Neuroscience Research, LLC (SCD subjects only), Long Beach, California, United States|Pacific Research Partners (SCD subjects only), Oakland, California, United States|UCSF Benioff Children's Hospital Oakland (SCD subjects only), Oakland, California, United States|Advanced Pharma CR, LLC (SCD subjects only), Miami, Florida, United States|Children's Healthcare of Atlanta (SCD subjects only), Atlanta, Georgia, United States|Augusta University Medical Center (SCD subjects only), Augusta, Georgia, United States|University of Illinois at Chicago (SCD subjects only), Chicago, Illinois, United States|University of Maryland, Greenebaum Comprehensive Cancer Center (SCD subjects only), Baltimore, Maryland, United States|Columbia University Medical Center (SCD subjects only), New York, New York, United States|Levine Cancer Institute (SCD subjects only), Charlotte, North Carolina, United States|Duke University Medical Center (SCD subjects only), Durham, North Carolina, United States|University of Cincinnati Medical Center (SCD subjects only), Cincinnati, Ohio, United States|Medpace Clinical Pharmacology Unit (Healthy Volunteers only), Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center (SCD subjects only), Cincinnati, Ohio, United States|Lynn Institute of Tulsa (SCD subjects only), Tulsa, Oklahoma, United States|St. Jude Children's Research Hospital (SCD subjects only), Memphis, Tennessee, United States|The University of Texas Health Science Center at Houston (SCD subjects only), Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03815695"
61,"NCT04120233","MW151-101: First-in-human Study of MW151",,"Completed","No Results Available","Drug Toxicity","Drug: Placebo|Drug: MW151, 10mg|Drug: MW151, 20mg|Drug: MW151, 40mg|Drug: MW151, 80mg|Drug: MW151, 160mg","Percentage of participants experiencing drug-related serious adverse events.","Linda Van Eldik|Duke Clinical Research Institute|National Institute on Aging (NIA)|University of Kentucky","Female","18 Years to 50 Years   (Adult)","Phase 1","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other","Pro00103072, IND143222|R01AG061898","October 22, 2019","September 16, 2021","September 16, 2021","October 9, 2019",,"December 7, 2021","Duke Clinical Research Institute, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04120233"
62,"NCT05135871","Study Evaluating the Pharmacokinetics of Mavacamten in Healthy Adult Chinese Subjects",,"Completed","No Results Available","Hypertrophic Cardiomyopathy","Drug: Mavacamten","Area under the curve (AUC) (0-last), AUC(0-inf)|Maximum concentration (Cmax)|Time to maximum concentration (Tmax)|Elimination half-life (T1⁄2)|Apparent volume of distribution (Vd/F)|Apparent clearance (CL/F)|Incidence of adverse events|Vital signs|Physical examination findings|Electrocardiogram (ECG) parameters|Clinical laboratory tests data","LianBio LLC","All","18 Years to 60 Years   (Adult)","Phase 1","45","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LB2001-101","October 31, 2021","February 5, 2022","February 28, 2022","November 26, 2021",,"March 25, 2022","Huashan Hospital Fudan University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05135871"
63,"NCT02703298","Safety and Pharmacokinetic Study of TRX-818 in Asian Solid Tumor Patients",,"Completed","No Results Available","Carcinoma|Advanced Cancer","Drug: TRX-818 capsules","Dose limiting toxicity (DLT) of TRX-818 in Asians|Maximum tolerated dose (MTD) of TRX-818 in Asians|Preliminary assessment of anti-tumor activity by Response Evaluation Criteria In Solid Tumors version 1.1 (RECIST 1.1)|Composite measure of pharmacokinetics (PK) parameters of TRX-818: AUC(0-last)|Composite measure of pharmacokinetics (PK) parameters of TRX-818:Cmax|Composite measure of pharmacokinetics (PK) parameters of TRX-818: Tmax|Composite measure of pharmacokinetics (PK) parameters of TRX-818: T(1/2)|Time to tumor progression (TTP)","TaiRx, Inc.","All","20 Years and older   (Adult, Older Adult)","Phase 1","19","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CVM-002","March 25, 2016","January 23, 2018","May 3, 2018","March 9, 2016",,"March 28, 2019","National Cheng Kung University Hospital, Tainan City, Tainan, Taiwan",,"https://ClinicalTrials.gov/show/NCT02703298"
64,"NCT02507544","A Safety and Pharmacokinetic Study of TRX-818 Administered Orally to Patients With Advanced Cancer",,"Completed","No Results Available","Carcinoma|Advanced Cancer","Drug: TRX-818 capsules","Dose limiting toxicity (DLT) of TRX-818|Maximum tolerated dose (MTD) of TRX-818|Preliminary assessment of anti-tumor activity by Response Evaluation Criteria In Solid Tumors version 1.1 (RECIST 1.1)|Composite measure of pharmacokinetics (PK) parameters of TRX-818 and its metabolites TRX-818M1 to include AUC(0-last), Cmax, Tmax, T(1/2).|Time to tumor progression (TTP)","TaiRx, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CVM-001","September 2015","April 29, 2017","May 20, 2019","July 24, 2015",,"May 21, 2020","START Midwest, Grand Rapids, Michigan, United States|South Texas Accelerated Research Therapeutics, LLC (START), San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02507544"
65,"NCT04100642","A Phase I Clinical Study of Hemay808",,"Completed","No Results Available","Safety Issues","Drug: Hemay808|Drug: Placebo","Number of adverse events and serious adverse events.|Cmax|Tmax|AUCt|AUC∞","Tianjin Hemay Pharmaceutical Co.,Ltd","All","18 Years to 45 Years   (Adult)","Phase 1","42","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","YQ-M-18-08","April 8, 2019","October 23, 2019","December 22, 2019","September 24, 2019",,"April 27, 2020","Dermotology hospital, Chinese academy of medical science, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04100642"
66,"NCT02048488","A Phase I/IIa Open-Label, Dose Escalation and Cohort Expansion Trial of Oral TSR-011 in Patients With Advanced Solid Tumors and Lymphomas",,"Completed","No Results Available","Solid Tumors|Lymphomas","Drug: TSR-011","Incidence of Adverse Events (AEs)|Area Under the Concentration-Time Curve (AUC)|Maximum Tolerated Dose (MTD)|Response Rate (RR)|Dose limiting toxicity (DLT)|Progression Free Survival (PFS)|Recommended Phase 2 Dose (RP2D)","Tesaro, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","72","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PR-20-5006-C","October 2012","September 2016","June 2018","January 29, 2014",,"March 26, 2019","Goodyear, Arizona, United States|Scottsdale, Arizona, United States|Los Angeles, California, United States|Nashville, Tennessee, United States|Norfolk, Virginia, United States|Spokane, Washington, United States|Warsaw, Mazowieckie, Poland|Gdansk, Pomorskie, Poland|Olsztyn, Warminsko-Mazurskie, Poland|Poznan, Wielkopolskie, Poland|Madrid, Spain|Santiago de Compostela, Spain|Tainan City, Taiwan|Taipei, Taiwan|London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02048488"
67,"NCT02478866","Safety and Pharmacokinetics of BPI-9016M in Patients With Advanced Solid Tumors",,"Completed","No Results Available","Solid Tumors","Drug: BPI-9016M","Participants with Adverse Events|Cmax|Half-life time|Tmax","Betta Pharmaceuticals Co., Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BD-CM-I01","August 11, 2015","June 30, 2017","November 2017","June 23, 2015",,"September 16, 2021","Department of Medical Oncology, Cancer Institute/Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China|Peking Union College Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02478866"
68,"NCT04481685","A Trial of Aclaris Therapeutics, Inc. (ATI)-450 in Patients With Moderate-severe Novel Coronavirus Disease 2019 (COVID-19)",,"Completed","No Results Available","Covid19","Drug: ATI-450|Drug: Placebo","Respiratory failure-free survival in participants with moderate-severe COVID-19 who are treated with ATI-450|Change in 7 point-ordinal scale|Change in oxygen saturation-normalization|Need for advanced respiratory care|All-cause mortality|Percentage of adverse events (AEs)|Percentage of serious adverse events (SAEs)|Proportion of participants with normalization of fever for 24 hours|Number of participants who develop new bacterial infection|Number of participants who develop new fungal infection|Incidence of Adult Respiratory distress Syndrome (ARDS2)|Change in serum cytokine Interleukin (IL)-6|Change in serum cytokine IL-8|Change in serum cytokines IL-1β|Change in serum cytokine Tumor Necrosis Factor (TNF-α)","University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","IIT-2020-ATI-450-COVID-19","July 20, 2020","February 25, 2021","June 1, 2021","July 22, 2020",,"June 23, 2021","The University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT04481685"
69,"NCT02218346","Food Effect Study of AG-221 in Healthy Male Subjects",,"Completed","No Results Available","Healthy Volunteers","Drug: AG221","Pharmacokinetic (PK) profile of AG-221|Incidence of adverse events","Agios Pharmaceuticals, Inc.|Celgene Corporation","Male","18 Years to 56 Years   (Adult)","Phase 1","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AG221-C-002","August 2014","December 2014","March 2015","August 18, 2014",,"December 14, 2015","Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02218346"
70,"NCT03402659","Proof-of-Concept Study of a Selective p38 MAPK Alpha Inhibitor, Neflamapimod, in Subjects With Mild Alzheimer's Disease","REVERSE-SD","Completed","Has Results","Alzheimer Disease","Drug: neflamapimod|Other: placebo","Total and Delayed Recall on the Hopkins Verbal Learning Test - Revised (HVLT-R)|Wechsler Memory Scale (WMS) Immediate and Delayed Recall|Clinical Dementia Rating Scale - Sum of Boxes (CDR-SB)|Mini-Mental State Examination (MMSE)|Cerebrospinal Fluid Total Tau|Cerebrospinal Fluid Phospho-tau|Cerebrospinal Fluid Amyloid Beta 1-40|Cerebrospinal Fluid Amyloid Beta 1-42|Cerebrospinal Fluid Neurogranin|Cerebrospinal Fluid Neurofilament Light Chain|Cerebrospinal Fluid P-tau/AB1-42 Ratio","EIP Pharma Inc|Worldwide Clinical Trials|VU University Medical Center","All","55 Years to 85 Years   (Adult, Older Adult)","Phase 2","161","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EIP-VX17-745-304","December 29, 2017","June 30, 2019","July 31, 2019","January 18, 2018","October 27, 2021","October 27, 2021","Alliance for Research, Long Beach, California, United States|Pacific Research Network, San Diego, California, United States|CITrials, Santa Ana, California, United States|Southern California Research, LLC, Simi Valley, California, United States|Viking Clinical Research, Temecula, California, United States|Miami Dade Medical Research Institute, Miami, Florida, United States|Sensible Healthcare, LLC, Ocoee, Florida, United States|Anchor Neuroscience, Pensacola, Florida, United States|Progressive Medical Research, Port Orange, Florida, United States|Suncoast Neuroscience Associates, Inc., Saint Petersburg, Florida, United States|Florida Premier Research Institute, Winter Park, Florida, United States|Northwest Clinical Trials, Boise, Idaho, United States|MassGeneral Institute for Neurodegenerative Disease, Charlestown, Massachusetts, United States|Manhattan Behavioral Medicine, New York, New York, United States|Alzheimer's Memory Center and Research Institute, Charlotte, North Carolina, United States|Northwest Clinical Research Center, Seattle, Washington, United States|Neuro HK, s.r.o. POLIKLINIKA CHOCEŇ, a.s., Choceň, Czechia|Cerebrovaskulární poradna s.r.o., Moravská Ostrava, Czechia|Clintrial S.R.O, Prague, Czechia|Private Psychiatric Centre, Prague, Czechia|Vestra Clinics S.R.O, Rychnov Nad Kněžnou, Czechia|CCBR Clinical Research, Aalborg, Aalborg, Denmark|CCBR Clinical Research, Ballerup, Ballerup, Denmark|CCBR Clinical Research, Vejle, Vejle, Denmark|Jeroen Bosch Ziekenhuis, 's-Hertogenbosch, Netherlands|Alzheimer Research Center, Amsterdam, Netherlands|Amphia Ziekhuis, Breda, Netherlands|MAC Clinical Research Tankersley, Barnsley, United Kingdom|Re:Cognition Health Birmingham, Birmingham, United Kingdom|MAC Clinical Research Blackpool, Blackpool, United Kingdom|Fulbourn Hospital, Cambridge, United Kingdom|MAC Clinical Research Leeds, Leeds, United Kingdom|MAC Clinical Research Liverpool, Liverpool, United Kingdom|Re:Cognition Health London, London, United Kingdom|St. Pancras Clinical Research, London, United Kingdom|MAC Clinical Research Manchester, Manchester, United Kingdom|Re:Cognition Health Plymouth, Plymouth, United Kingdom|5 Boroughs/North West Boroughs Healthcare NHS Foundation Trust, Warrington, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT03402659/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT03402659/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03402659"
71,"NCT01773018","Phase I Study of the Volitinib (HMPL-504) in Patients With Advanced Solid Tumors","HMPL-504","Completed","No Results Available","Tumor","Drug: Volitinib","The safety and tolerability of single and multiple doses of HMPL-504 administered to patients.|Pharmacokinetic Assessments for area under curve (AUC), Cmax and Tmax .","Hutchison Medipharma Limited|Sir Charles Gairdner Hospital|Austin Hospital, Melbourne Australia|Monash University","All","18 Years and older   (Adult, Older Adult)","Phase 1","47","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2011-504-00AU1","February 2012","December 2015","May 2016","January 21, 2013",,"June 1, 2016","Sir Charles Gairdner Hospital, Nedlands, Western Australia, Australia|Southern Health and Monash Institute of Medical Research, Clayton, Australia|Austin Health, Melbourne, Australia",,"https://ClinicalTrials.gov/show/NCT01773018"
72,"NCT00257114","Evaluation of VELCADE Given as Retreatment to Multiple Myeloma Patients for Efficacy, Safety and Tolerability",,"Completed","No Results Available","Multiple Myeloma","Drug: bortezomib",,"Millennium Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 4",,"Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C05004",,"March 2007",,"November 22, 2005",,"February 11, 2008","Sinai Hospital of Baltimore, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00257114"
73,"NCT00118456","Study of Oral AEE788 in Adults With Advanced Cancer",,"Completed","No Results Available","Cancer","Drug: AEE788","Maximum-tolerated dose and dose-limiting toxicity of AEE788|Maximum-tolerated dose, safety and tolerability of AEE788|Single dose and repeated dose pharmacokinetic profile of AEE788|Pharmacodynamic effects|Changes in glucose metabolism/cell viability","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1","189","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CAEE788A2101","July 2003","January 2008",,"July 11, 2005",,"January 9, 2012","Yale Cancer Center, New Haven, Connecticut, United States|Nevada Cancer Institute, Las Vegas, Nevada, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|MD Anderson Cancer Center, Houston, Texas, United States|Institute of Drug Development/Cancer Therapy and Research Center, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00118456"
74,"NCT00116376","Study of AEE788 in Patients With Recurrent/Relapse Glioblastoma Multiforme (GBM)",,"Completed","No Results Available","Glioblastoma Multiforme","Drug: AEE788","Maximum tolerated dose|Dose limiting toxicity|Safety, tolerability, pharmacokinetic profiles, change in plasma markers of angiogenesis, tumor PK levels","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","64","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CAEE788A2103","January 2004","November 2005","November 2005","June 29, 2005",,"November 10, 2015","University of California at Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|The Brain Tumor Center at Duke, Duke University Medical Center, Box 3624 DUMC, Trent Drive, Durham, North Carolina, United States|University of Texas, MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00116376"
75,"NCT03163966","A Study of the EP4 Antagonist CR6086 in Combination With Methotrexate, in DMARD-naïve Patients With Early Rheumatoid Arthritis",,"Completed","No Results Available","Rheumatoid Arthritis, DMARD-naive and Early Disease Patients","Drug: CR6086|Drug: Methotrexate|Drug: Placebo","American College of Rheumatology 20% improvement (ACR20) responder rate|ACR50 responder rate|ACR70 responder rate|Disease Activity Score on 28-joint count (DAS28)|Clinical Disease Activity Index (CDAI)|Simplified Disease Activity Index (SDAI)|ACR/EULAR remission criteria|Adverse Events|Routine Laboratory determinations|Pharmacokinetics (PK) of Methotrexate and CR6086 in combination|Biochemical markers|Imaging biomarkers","Rottapharm Biotech","All","18 Years and older   (Adult, Older Adult)","Phase 2","248","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CR6086-2-02","October 5, 2017","January 8, 2019","January 8, 2019","May 23, 2017",,"October 5, 2021","Institute of Rheumatology, Prague, Czechia",,"https://ClinicalTrials.gov/show/NCT03163966"
76,"NCT02655822","Phase 1/1b Study to Evaluate the Safety and Tolerability of Ciforadenant Alone and in Combination With Atezolizumab in Advanced Cancers",,"Completed","No Results Available","Renal Cell Cancer|Metastatic Castration Resistant Prostate Cancer","Drug: Ciforadenant|Drug: Ciforadenant + atezolizumab","Incidence of dose-limiting toxicities (DLTs) of ciforadenant as a single agent and in combination with atezolizumab|Objective response rate per RECIST v1.1 criteria of ciforadenant as a single agent and in combination with atezolizumab|Incidence of treatment-emergent adverse events, as assessed by NCI CTCAE v.4.03, of ciforadenant as a single agent and in combination with atezolizumab|Mean and median Area under the curve (AUC) of ciforadenant|Mean and median Maximum concentration (Cmax) of ciforadenant|Identify the MDL (maximum dose level) of single agent ciforadenant","Corvus Pharmaceuticals, Inc.|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","502","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CPI-444-001","January 2016","June 2021","July 2021","January 14, 2016",,"August 30, 2021","University of Arizona Cancer Center, Tucson, Arizona, United States|University of California - San Francisco, San Francisco, California, United States|Stanford Cancer Institute, Stanford, California, United States|Yale University, New Haven, Connecticut, United States|University of Miami Hospital and Clinics, Miami, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Sidney Kimmel Comprehensive Cancer Center - Johns Hopkins University School of Medicine, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Pittsburgh Medical Center Cancer Center, Pittsburgh, Pennsylvania, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia|Monash Health, Clayton, Victoria, Australia|Cross Cancer Institute, Edmonton, Alberta, Canada|British Columbia Cancer Agency - Vancouver Centre, Vancouver, British Columbia, Canada|The Ottawa Hospital Cancer Centre, Ottawa, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02655822"
77,"NCT02847325","Study of AC0058TA in Healthy Male and Female Subjects",,"Completed","No Results Available","Healthy Volunteers","Drug: AC0058TA|Drug: Placebo capsules","Safety and tolerability of single and multiple oral doses of AC0058TA determined by adverse events|Plasma concentrations of single dose or multiple doses of AC0058TA|Time to maximum observed concentration (Tmax)|Area under the concentration-time curve (AUC)|The effect of food on AUC of the single-oral-dose AC0058TA","ACEA Therapeutics, Inc.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AC00582015-101","May 2016","April 2017","April 2017","July 28, 2016",,"February 28, 2019","Covance Clinical Development Services, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02847325"
